Push-Up;1: Assume the starting position, with hands slightly wider than shoulder-width apart.#2: Try to form a straight line from head to feet, and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the floor, and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Chest#Front Deltoid#Triceps#Abs
Push-Up Against Wall;1: Assume the starting position, with hands slightly wider than shoulder width apart.#2: Try to form a straight line from head to feet, and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the wall, and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Chest#Front Deltoid#Triceps#Abs
Push-Ups With Feet in Rings;1: Assume the starting position, with hands slightly wider than shoulder-width apart.#2: Place your feet in the rings. Try to form a straight line from head to feet, and brace your core slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion, and push yourself up to straight arms again while exhaling.#5: Repeat for reps;Chest#Front Deltoid#Triceps#Abs
Resistance Band Chest Fly;1: Attach the band to a door or something similarly stable around chest level.#2: In a standing position, grab the band with one hand and move away from the anchor point until you feel a stretch and resistance in your chest muscles.#3: Pull the band in front of your body at chest height with a slight bend at the elbow.#4: Contract your chest muscle before returning to the starting position with a controlled movement and repeat for reps.#5: Switch to the other side of your body and perform the above steps again.;
Smith Machine Bench Press;1: Lie on the bench, pull your shoulderblades together and down, and hold your chest up.#2: Grip the bar slightly wider than shoulder-width apart.#3: Take a breath and hold it, and unrack the bar.#4: Lower the bar with control, until it touches your chest.#5: Push the bar up while exhaling.#6: Take another breath in the top position, and repeat for reps.;Chest#Front Deltoid#Triceps
Smith Machine Incline Bench Press;1: Sit on an inclined bench, pull your shoulderblades together and down, and hold your chest up.#2: Grip the bar slightly wider than shoulder-width apart.#3: Take a breath and hold it, and unrack the bar.#4: Lower the bar with control, until it touches your upper chest.#5: Push the bar up while exhaling.#6: Take another breath in the top position, and repeat for reps.;Chest#Front Deltoid#Triceps
Standing Cable Chest Fly;1: Fasten a pair of handles in the top position of a cable cross. Grip the handles, step forward, and lean slightly forward.#2: With just a slight bend in the arms, push the handles forward until they meet in front of your body.#3: With control, let the handles go back to the starting position.;Chest#Front Deltoid
Standing Resistance Band Chest Fly;1: Attach the band to a door or something similarly stable around chest level.#2: In a standing position, grab the band with one hand and move away from the anchor point until you feel a stretch and resistance in your chest muscles.#3: Pull the band in front of your body at chest height with a slight bend at the elbow.#4: Contract your chest muscle before returning to the starting position with a controlled movement and repeat for reps.#5: Switch to the other side of your body and perform the above steps again.;Chest#Front Deltoid
Band External Shoulder Rotation;1: Fasten an elastic band at elbow height. Grab the band, step away and stand sideways to the band.#2: Grab the band with your arm that is on the opposite side from the band’s attachment point. Keep your upper arm close to your side, and bend your elbow to 90 degrees.#3: Rotate your upper arm externally (outwards) against the resistance of the band, as far as possible.#4: Reverse the movement, and repeat for reps. ;Rotator Cuff (posterior)
Band Internal Shoulder Rotation;1: Fasten an elastic band at elbow height. Grab the band, step away and stand sideways to the band.#2: Grab the band with your arm that is closest to the band’s attachment point. Keep your upper arm close to your side, and bend your elbow to 90 degrees.#3: Rotate your upper arm internally (inwards) against the resistance of the band, as far as possible.#4: Reverse the movement, and repeat for reps. ;Rotator Cuff (anterior)
Band Pull-Apart;1: Grab an elastic band, and hold it out before you on straight arms.#2: Pull the band apart by moving your arms to the sides as far as you can, or until your arms are pointing straight out.#3: Return with control to the starting position.;Rear Deltoid#Rotator Cuff
Barbell Front Raise;1: Hold a barbell in straight arms, in front of your body.#2: With control, lift the barbell forward with straight arms, until the bar is at shoulder height.#3: Reverse the movement and lower the bar with control.;Front Deltoid#Lateral Deltoid
Barbell Rear Delt Row;1: Grip the bar with a wide overhand grip, and lean forward with the bar hanging from straight arms.#2: Inhale and pull the bar high on your chest.#3: With control, lower the bar back to the starting position.;Rear Deltoid#Trapezius#Rotator Cuff#Biceps#Forearm Flexors
Barbell Upright Row;1: Grip the bar with an overhand grip, slightly narrower than shoulder-width apart.#2: Pull the bar straight up, until it is at the level of your chin.#3: With control, lower the bar back to the starting position.;Lateral Deltoid#Front Deltoid#Trapezius#Biceps
Behind the Neck Press;1: Grab a bar slightly wider than shoulder-width apart, and duck under it so that it is resting against the base of your neck.#2: Take a breath, lightly brace your core, and unrack the bar. Take a step back.#3: Press the bar up until your arms are straight, while exhaling.#4: Inhale at the top, or while lowering the bar with control back to the base of your neck.#5: Repeat for reps.;Front Deltoid#Lateral Deltoid#Trapezius#Triceps
Cable Lateral Raise;1: Grip a handle connected to the lower position on a cable pulley. Stand close to the pulley, with the arm holding the handle facing away from the machine.#2: With control, lift the handle outwards to your sides, until your upper arm is horizontal.#3: Lower the handle with control.#4: Repeat for reps.;Lateral Deltoid#Front Deltoid
Cable Rear Delt Row;1: Fasten a rope handle in a high position on a cable pulley. Grip the ropes with an overhand grip, and take a step or two back.#2: With elbows held high, pull the rope towards you by letting your upper arms move straight out towards your sides. Pull your scapulas together in the end position.#3: Return with control to the starting position, by letting your arms move forward again.;Rear Deltoid#Rotator Cuff#Trapezius#Biceps
Dumbbell Front Raise;1: Hold a pair of dumbbells in straight arms, in front of your hip.#2: With control, lift the dumbbells forward with straight arms, until the dumbbells are at shoulder height.#3: Reverse the movement and lower the dumbbells with control.;Front Deltoid#Lateral Deltoid
Dumbbell Horizontal Internal Shoulder Rotation;1: Lie down on your back, with your upper arm out to your side at 90 degrees, and your elbow bent to 90 degrees.#2: With a dumbbell, rotate your arm internally (upwards) against the direction of resistance until your forearm is vertical.#3: Reverse the movement, and repeat for reps.;Rotator Cuff (anterior)
Dumbbell Horizontal External Shoulder Rotation;1: Stand sideways to a barbell, set slightly below your shoulder height, so that your upper arm is horizontal when you are resting it on the bar.#2: Hold a dumbbell in your hand, and bend your elbow to 90 degrees.#3: Rotate your arm externally (upwards) against the direction of resistance, as far as possible.#4: Reverse the movement, and repeat for reps.;Rotator Cuff (posterior)
Dumbbell Lateral Raise;1: Hold a pair of dumbbells in almost straight arms hanging by your sides.#2: With control, lift the dumbbells out to your sides until your upper arms are horizontal.#3: Lower the dumbbells with control.#4: Repeat for reps.;
Dumbbell Rear Delt Row;1: Lean forward with a dumbbell in each hand.#2: Inhale and make a wide rowing motion, where you let your upper arms go out towards the sides.#3: With control, lower the dumbbells back to the starting position.;Rear Deltoid#Trapezius#Rotator Cuff#Biceps#Forearm Flexors
Dumbbell Shoulder Press;1: Grab a pair of dumbbells, and lift them up to the starting position at your shoulders.#2: Inhale and lightly brace your core.#3: Press the dumbbells up to straight arms, while exhaling.#4: Inhale at the top, or while lowering the dumbbells with control back to your shoulders.#5: Repeat for reps.;Front Deltoid#Triceps#Lateral Deltoid
Face Pull;1: Fasten a rope handle in a high position on a cable pulley. Grip the ropes with an overhand grip, and take a step or two back.#2: With elbows held high, pull the rope towards you by letting your upper arms move straight out towards your sides, while simultaneously rotating your forearms up.#3: Return with control to the starting position, by letting your arms move forward again.;Rear Deltoid#Rotator Cuff#Trapezius#Lateral Deltoid
Front Hold;1: Hold a plate in straight arms, in front of your body.#2: With control, lift the plate forward with straight arms, until the bar is at shoulder height.#3: Hold still.;Front Deltoid#Lateral Deltoid
Lying Dumbbell External Shoulder Rotation;1: Lie down on your side, with your upper arm close to your side, and your elbow bent to 90 degrees.#2: Grab a dumbbell and rotate your arm externally (upwards) against the direction of resistance, as far as possible.#3: Reverse the movement, and repeat for reps.;Rotator Cuff (posterior)
Lying Dumbbell Internal Shoulder Rotation;1: Lie down on your side, with your arm close to your side, and your elbow bent to 90 degrees.#2: With a dumbbell, rotate your arm internally (upwards) against the direction of resistance, as far as possible.#3: Reverse the movement, and repeat for reps.;Rotator Cuff (anterior)
Machine Lateral Raise;1: Adjust the machine so that the pads are leaning against your elbows.#2: Lift your arms out to your sides, until your upper arms are horizontal.#3: Lower the arms again.;Lateral Deltoid#Front Deltoid
Machine Shoulder Press;1: Adjust the machine to the appropriate settings, sit down, and grip the handles.#2: Press the handles upwards until your arms are straight.#3: Lower the handles with control.;Front Deltoid#Triceps#Lateral Deltoid
Monkey Row;1: With your arms by your sides, hold a dumbbell in each hand.#2: Pull the dumbbells straight up as far as you can.#3: With control, lower the dumbbells back to the starting position.;Lateral Deltoid#Front Deltoid#Trapezius#Biceps
Overhead Press;1: First, place a barbell in a rack at about chest height.#2: Grip the bar slightly wider than shoulder-width apart, and step close to it.#3: Inhale, lightly brace your core, and unrack the bar.#4: Let the bar rest against your front delts while you step back from the rack.#5: Press the bar up to straight arms while exhaling.#6: Inhale at the top or while lowering the bar with control back to your shoulders.#7: Repeat for reps.;Front Deltoid#Triceps#Lateral Deltoid
Plate Front Raise;1: Hold a plate in straight arms, in front of your body.#2: With control, lift the plate forward with straight arms, until the bar is at shoulder height.#3: Reverse the movement and lower the plate with control.;Front Deltoid#Lateral Deltoid
Power Jerk;1: Get into the starting position by cleaning the bar or lifting it out from a rack. Grip the bar slightly wider than shoulder-width apart, and let it rest on the front of your shoulders.#2: Hold your breath and brace your core slightly.#3: Slightly bend your knees, and then forcefully extend them to push the bar up.#4: Duck under the bar and catch it on straight arms, by slightly bending your knees.#5: Stand up on straight legs again.#6: Lower the bar in front of you, with control, or lower it back unto the front of your shoulders.;Front Deltoid#Quads#Glutes#Adductors#Lower Back#Trapezius#Triceps#Lateral Deltoid
Push Press;1: Clean a bar to your shoulders, or lift it out from a rack.#2: Let the bar rest against the front of your shoulders, with your grip slightly outside your shoulders.#3: Inhale and lightly brace your core.#4: Bend your knees, and then forcefully push yourself and the bar upwards using your legs.#5: When your legs are extended, immediately start pressing the bar with your arms, until your arms are fully extended.#6: With control, lower the bar back to your shoulders.;Front Deltoid#Quads#Glutes#Adductors#Lower Back#Trapezius#Triceps#Lateral Deltoid
Reverse Dumbbell Flyes;1: Hold a pair of dumbbells, lean forward and let your arms hang towards the floor.#2: With almost straight arms (just a slight bend at the elbow), slowly lift the dumbbells by raising your arms out to the sides.#3: Reverse the movement and lower the dumbbells back to the starting position.;Rear Deltoid#Rotator Cuff#Trapezius
Reverse Machine Fly;1: Adjust the the chest support and handles, so that you can grip the handles in shoulder height, and get a long range of motion.#2: With just a slight bend in the arms, pull the handles backward by bringing your arms out to the sides.#3: Reverse the movement and let the handles go back to the starting position.;Rear Deltoid#Rotator Cuff#Trapezius
Seated Dumbbell Shoulder Press;1: Sit down on a bench with a raised backrest.#2: Grab a pair of dumbbells and lift them up to the starting position at your shoulders.#3: Inhale and lightly brace your core.#4: Press the dumbbells up to straight arms, while exhaling.#5: Inhale at the top, or while lowering the dumbbells with control back to your shoulders.#6: Repeat for reps.;Front Deltoid#Triceps#Lateral Deltoid
Seated Barbell Overhead Press;1: Sit down on a bench with a raised backrest. The bench should be placed close to a rack, where a barbell rests at about shoulder height.#2: Grip the bar with an overhand grip.#3: Inhale, lightly brace your core, and unrack the bar. Lean back on the backrest.#4: Press the bar up to straight arms, while exhaling.#5: Inhale at the top, or while lowering the bar with control back to your shoulders.#6: Repeat for reps.;Front Deltoid#Triceps#Lateral Deltoid
Seated Smith Machine Shoulder Press;1: Sit on a bench, unrack a barbell and lower it to the starting position at the top of your chest.#2: Press the bar up to straight arms, while exhaling.#3: Inhale at the top, or while lowering the bar with control back to your chest.#4: Repeat for reps.;Front Deltoid#Triceps#Lateral Deltoid
Snatch Grip Behind the Neck Press;1: Grab a bar with a snatch grip width, and duck under it so that it is resting against the base of your neck.#2: Take a breath, lightly brace your core, and unrack the bar. Take a step back.#3: Press the bar up until your arms are straight, while exhaling.#4: Inhale at the top, or while lowering the bar with control back to the base of your neck.#5: Repeat for reps.;Front Deltoid#Lateral Deltoid#Trapezius#Triceps
Squat Jerk;1: Get into the starting position by cleaning the bar or lifting it out from a rack. Grip the bar slightly wider than shoulder-width apart, and let it rest on the front of your shoulders.#2: Hold your breath, and brace your core slightly.#3: Slightly bend your knees, and then forcefully extend them to push the bar up.#4: Duck under the bar and catch it on straight arms, by bending your knees like in a squat.#5: Stand up on straight legs again.#6: Lower the bar in front of you, with control, or lower it back unto the front of your shoulders.;Glutes#Lower Back#Adductors#Quads#Front Deltoid#Trapezius#Triceps#Lateral Deltoid#Calves
Split Jerk;1: Get into the starting position by cleaning the bar or lifting it out from a rack. Grip the bar slightly wider than shoulder-width apart, and let it rest on the front of your shoulders.#2: Hold your breath and brace your core slightly.#3: Slightly bend your knees, and then forcefully extend them to push the bar up.#4: Duck under the bar and catch it on straight arms, with your legs in a lunge position.#5: First take a step back with your front foot and then step forward with your back foot, until you’re standing with your feet side by side again, while controlling the bar on straight arms above your head.#6: Lower the bar in front of you, with control.;Front Deltoid#Quads#Glutes#Adductors#Lower Back#Trapezius#Triceps#Lateral Deltoid
Barbell Curl;1: Grip a bar with an underhand (supinated) grip, hands about shoulder-width apart.#2: Lift the bar with control, by flexing your elbows.#3: Don’t let your upper arm travel back during the curl, keep it at your side or move it slightly forward.#4: Reverse the movement and lower the bar back to the starting position.;Biceps#Forearm Flexors
Barbell Preacher Curl;1: Grab a barbell and sit down at a preacher curl bench, resting your upper arms against the pad.#2: Lower the barbell as far as you can, with control.#3: Reverse the motion and return to the starting position.;Biceps#Forearm Flexors
Bodyweight Curl;1: Grab the handles of your TRX (or your rings), and stand with your body facing the anchor point. #2: Keep your feet close towards the anchor point, leaning back with the cables tensioned. Keep your core activated the entire time.#3: In the starting position, keep your arms straight and the palms facing toward your face. At this point, the elbows should be higher up than the shoulders.#4: Slowly bend your arms with control and curl yourself towards the handles.#5: Reverse the movement and repeat for reps.;Biceps#Lats#Forearm Flexors
Cable Curl With Bar;1: Fasten a bar in the lower position of a cable cross. Grip the bar with an underhand (supinated) grip, hands about shoulder-width apart, and take a step back.#2: Lift the bar with control, by flexing your elbows.#3: Don’t let your upper arm travel back during the curl, keep it still or move it slightly forward.#4: Reverse the movement and lower the bar back to the starting position.;Biceps#Forearm Flexors
Cable Curl With Rope;1: Fasten a rope in the lower position of a cable cross. Grip the rope with a neutral grip and take a step back.#2: Lift the rope with control, by flexing your elbows.#3: Don’t let your upper arm travel back during the curl, keep it still or move it slightly forward.#4: Reverse the movement and lower the rope back to the starting position.;Biceps#Forearm Flexors
Concentration Curl;1: Sit on a bench with a dumbbell in hand. Lean your elbow onto the inside of your leg.#2: Lift the dumbbell with control by flexing your elbow.#3: Reverse the movement and lower the dumbbell back to the starting position.;Biceps#Forearm Flexors
Dumbbell Curl;1: Hold a pair of dumbbells in an underhand (supinated) grip, arms hanging by your sides.#2: Lift the dumbbells with control, by flexing your elbows.#3: Don’t let your upper arms travel back during the curl. Keep them at your sides or move them slightly forward.#4: Reverse the movement and lower the dumbbells back to the starting position.;Biceps#Forearm Flexors
Dumbbell Preacher Curl;1: Use a preacher curl bench, or position the back rest of a regular training bench so that it leans back slightly.#2: Grab a dumbbell, stand behind the bench, and rest your upper arm against the back rest.#3: Lower the dumbbell as far as you can, and then reverse the motion, returning to the starting position.;Biceps#Forearm Flexors
Hammer Curl;1: Hold a pair of dumbbells in a neutral grip (palms facing each other), arms hanging by your sides.#2: Lift the dumbbells with control, by flexing your elbows.#3: Don’t let your upper arms travel back during the curl. Keep them at your sides or move them slightly forward.#4: Reverse the movement and lower the dumbbells back to the starting position.;Biceps#Forearm Flexors
Incline Dumbbell Curl;1: Grab a pair of dumbbells, and sit down on an inclined bench. Let your arms hang straight down by your sides.#2: Lift the dumbbells with control, by flexing your elbows.#3: Reverse the movement and lower the dumbbells back to the starting position.;Biceps#Forearm Flexors
Machine Bicep Curl;1: Adjust the machine so that you are correctly positioned. Your upper arms should rest on the padding, and your elbows should be in line with the machine’s joint. #2: Grab the handles with an underhand grip around shoulder width apart.#3: Curl the weight up as far as possible. Make sure to do the entire movement at a controlled speed.#4: Revert the movement, and stop just before the weights hit the stacks.#5: Repeat for reps.;Biceps#Forearm Flexors
Spider Curl;1: Lie down on your chest and stomach on a 45-degree bench, holding a pair of dumbbells in an underhand (supinated) grip.#2: With your upper arms vertical, lift the dumbbells with control, by flexing your elbows.#3: Don’t let your upper arms travel back or forwards during the curl. Keep the movement to your forearms only.#4: Reverse the movement and lower the dumbbells back to the starting position.;
Barbell Standing Triceps Extension;1: Grip a barbell with a close grip, and lift it up to straight arms over your head.#2: Lower the barbell down behind your head, while keeping your upper arms still and vertical.#3: Reverse the motion and extend your arms again.;Triceps
Barbell Lying Triceps Extension;1: Lie down on a bench with your head close to the edge. Hold a barbell with a shoulder-wide grip, and lift it up to straight arms over yourself.#2: Lower the barbell down behind your head. Try to keep the same distance between your elbows throughout the movement.#3: Reverse the motion and extend your arms again.;Triceps
Bench Dip;1: Turn your back towards a sturdy training bench, and put your hands on the pad about shoulder-width apart. Extend your legs in front of you.#2: Lower yourself with control for as far as comfortable by bending your arms.#3: Reverse the motion and return to the starting position.;Triceps#Chest#Front Deltoid
Close-Grip Push-Up;1: Assume the starting position, with hands shoulder-width apart.#2: Try to form a straight line from head to feet and brace your abdomen slightly.#3: Lower yourself as deep as you can, while inhaling.#4: Reverse the motion when you’ve touched the floor and push yourself up to straight arms again while exhaling.#5: Repeat for reps.;Triceps#Abs#Chest#Front Deltoid
Dumbbell Lying Triceps Extension;1: Lie down on a bench which your head close to the edge. Hold a pair of dumbbells with your arms pointing straight up.#2: Lower the dumbbell down behind your head. Try to keep the same distance between your elbows throughout the movement.#3: Reverse the motion and extend your arms again.;
Dumbbell Standing Triceps Extension;1: Lift a dumbbell up to a straight arm over your head.#2: Lower the dumbbell down behind your head, while keeping your upper arm still and vertical.#3: Reverse the motion and extend your arm again.;Triceps
Overhead Cable Triceps Extension;1: Fasten a rope handle in the lower position of a cable pulley. Stand with your back against the pulley, with a slight forward lean, and hold the rope behind your head and your upper arms next to your ears.#2: Straighten your elbows until your arms are fully extended.#3: Reverse the motion by bending your arms again.;Triceps
Tricep Bodyweight Extension;1: Grab the bar using an overhead grip, with your hands about shoulder-width apart.#2: At the starting position, your arms should be fully extended, and your core and glutes activated as in a standing plank position.#3: Bend the arms, bring your torso forward, and lower your head below the bar. Do the movement slow and controlled.#4: Reverse the movement by straightening your arms.#5: Repeat for reps.;Triceps
Tricep Pushdown With Bar;1: Stand one step away from the cable pulley, and grip a bar about shoulder-width apart.#2: Pull the handle down until your upper arms are perpendicular to the floor. This is the starting position.#3: Push the handle down until your arms are fully extended.#4: With control, let the handle up again.;Triceps
Tricep Pushdown With Rope;1: Fasten a rope handle in the upper position of a cable pulley. Grip the rope with an overhand grip, and take one step back from the pulley.#2: Pull the rope down until your upper arms are perpendicular to the floor. This is the starting position.#3: Push the rope down until your arms are fully extended.#4: With control, let the rope up again.;Triceps
Air Squat;1: Stand with your feet about shoulder width apart.#2: Squat as deep as possible.#3: Reverse the movement, and return to a standing position.;Quads#Glutes#Adductors#Calves
Barbell Hack Squat;1: Stand in front of a bar. Squat down and grip the bar with your arms outside your legs.#2: Inhale, brace your core slightly, and lift the bar.#3: Pull the bar close to your body, with a straight back, until you are standing straight.#4: Lower the bar back to the ground with control.#5: Take another breath, and repeat for reps.;Quads#Glutes#Adductors#Lower Back#Trapezius#Forearm Flexors#Calves
Barbell Lunge;1: Take a big step forward and sink as deep as possible in a lunge position, without hitting the knee of the back leg in the floor.#2: Return to the starting position by pushing yourself back with the front leg.;Quads#Glutes#Adductors
Barbell Walking Lunge;1: Stand with your feet at shoulder-width apart, with a slight bend in the knees. Make sure that your core is engaged.#2: Step forward with one of your legs, bending both knees at the same time. Stop the movement just before the back knee touches the floor, you should have about a 90-degree angle in both knees.#3: Drive through your front foot and extend the knee until you get back to a standing position.#4: Continue by repeating the movement on the other side. #5: Repeat for reps.;Quads#Glutes#Adductors
Belt Squat;1: Place the belt around your waist properly, and attach it to the machine. #2: Make sure that you’re standing accordingly to your normal squat stance. Inhale and brace your core slightly, and unrack the weight.#3: Squat as deep as possible with good technique.#4: With control, stop and reverse the movement, extending your hips and legs again.#5: Exhale on the way up or exchange air in the top position.#6: Inhale and repeat for reps.;Quads#Glutes#Adductors#Calves
Body Weight Lunge;1: Take a big step forward and sink as deep as possible in a lunge position, without hitting the knee of the back leg in the floor.#2: Return to the starting position by pushing yourself back with the front leg.;Quads#Glutes#Adductors
Box Squat;1: Place the bar on your upper back, inhale and brace your core slightly, and unrack the bar.#2: Take two steps back, and adjust your foot position.#3: Squat down to a box, set at your desired heigth.#4: Stand up again. Exhale on the way up, or exchange air in the top position.#5: Inhale and repeat for reps.;Quads#Glutes#Adductors#Lower Back#Calves
Bulgarian Split Squat;1: Stand with your back turned against a bench, which should be at about knee height. Stand about one long step in front of the bench.#2: Place one foot on the bench behind you.#3: Inhale, look forward, and squat down with control until right before the knee of the back leg touches the floor.#4: Reverse the movement and extend your front leg again, while exhaling.#5: Inhale at the top and repeat for reps.;Quads#Glutes#Adductors
Chair Squat;1: Stand with your feet about shoulder width apart, or where you feel comfortable.#2: Squat until you touch the chair. #3: Reverse the movement, and return to a standing position.;Quads#Glutes#Adductors#Calves
Dumbbell Lunge;1: Hold a dumbbell in each hand and stand with your feet about shoulder width apart.#2: Take a big step forward and sink as deep as possible in a lunge position, without hitting the knee of the back leg in the floor.#3: Return to the starting position by pushing yourself back with the front leg.;Quads#Glutes#Adductors#Forearm Flexors
Dumbbell Squat;1: Hold a dumbbell in each hand, and stand with your feet about shoulder width apart.#2: Inhale, lightly brace your core, and squat down as deep as possible.#3: Reverse the movement, and return to a standing position. Exhale on the way up.;Quads#Glutes#Adductors#Lower Back#Calves
